,orth,base,ctag,sentence
298,jęknięcie,jęknięcie,subst:sg:acc:n,21
299,.,.,interp,21
300,Osiągnąwszy,osiągnąć,pant:perf,22
301,tę,ten,adj:sg:acc:f:pos,22
302,fazę,faza,subst:sg:acc:f,22
303,wspinaczki,wspinaczka,subst:sg:gen:f,22
304,",",",",interp,22
305,przeszło,przejść,praet:sg:n:perf,22
306,po,po,prep:loc,22
307,chwili,chwila,subst:sg:loc:f,22
308,do,do,prep:gen,22
309,następnego,następny,adj:sg:gen:m3:pos,22
310,etapu,etap,subst:sg:gen:m3,22
311,.,.,interp,22
312,Ciągle,ciągle,adv:pos,23
313,leżąc,leżeć,pcon:imperf,23
314,",",",",interp,23
315,zaczęło,zacząć,praet:sg:n:perf,23
316,się,się,qub,23
317,czołgać,czołgać,inf:imperf,23
318,dalej,daleko,adv:com,23
319,",",",",interp,23
320,aż,aż,comp,23
321,do,do,prep:gen,23
322,chwili,chwila,subst:sg:gen:f,23
323,kiedy,kiedy,adv,23
324,środek,środek,subst:sg:nom:m3,23
325,ciężkości,ciężkość,subst:sg:gen:f,23
326,",",",",interp,23
327,w,w,prep:loc:nwok,23
328,ogóle,ogół,subst:sg:loc:m3,23
329,całe,cały,adj:sg:nom:n:pos,23
330,ciało,ciało,subst:sg:nom:n,23
331,",",",",interp,23
332,całkowicie,całkowicie,adv:pos,23
333,znalazło,znaleźć,praet:sg:n:perf,23
334,się,się,qub,23
335,na,na,prep:loc,23
336,stopniu,stopień,subst:sg:loc:m3,23
337,.,.,interp,23
338,-,-,interp,24
339,Nie,nie,qub,24
340,widzę,widzieć,fin:sg:pri:imperf,24
341,większego,duży,adj:sg:gen:n:com,24
342,ryzyka,ryzyko,subst:sg:gen:n,24
343,dla,dla,prep:gen,24
344,takiej,taki,adj:sg:gen:f:pos,24
345,decyzji,decyzja,subst:sg:gen:f,24
346,.,.,interp,24
347,Wystąpienie,wystąpić,ger:sg:nom:n:perf:aff,25
348,tzw,tak_zwany,brev:pun,25
349,.,.,interp,25
350,impulsu,impuls,subst:sg:gen:m3,25
351,inflacyjnego,inflacyjny,adj:sg:gen:m3:pos,25
352,na,na,prep:acc,25
353,skutek,skutek,subst:sg:acc:m3,25
354,podwyżek,podwyżka,subst:pl:gen:f,25
355,cen,cena,subst:pl:gen:f,25
356,ropy,ropa,subst:sg:gen:f,25
357,na,na,prep:loc,25
358,świecie,świat,subst:sg:loc:m3,25
359,jest,być,fin:sg:ter:imperf,25
360,mało,mało,adv:pos,25
361,realne,realny,adj:sg:nom:n:pos,25
362,.,.,interp,25
363,Również,również,qub,26
364,duże,duży,adj:sg:nom:n:pos,26
365,bezrobocie,bezrobocie,subst:sg:nom:n,26
366,i,i,conj,26
367,konkurencja,konkurencja,subst:sg:nom:f,26
368,na,na,prep:loc,26
369,rynku,rynek,subst:sg:loc:m3,26
370,będą,być,bedzie:pl:ter:imperf,26
371,dyscyplinować,dyscyplinować,inf:imperf,26
372,nasze,nasz,adj:pl:acc:f:pos,26
373,ceny,cena,subst:pl:acc:f,26
374,.,.,interp,26
375,Ale,ale,conj,27
376,pamiętajmy,pamiętać,impt:pl:pri:imperf,27
377,",",",",interp,27
378,że,że,comp,27
379,ta,ten,adj:sg:nom:f:pos,27
380,obniżka,obniżka,subst:sg:nom:f,27
381,-,-,interp,27
382,jeśli,jeśli,comp,27
383,do,do,prep:gen,27
384,niej,on,ppron3:sg:gen:f:ter:akc:praep,27
385,dojdzie,dojść,fin:sg:ter:perf,27
386,-,-,interp,27
387,przełoży,przełożyć,fin:sg:ter:perf,27
388,się,się,qub,27
389,na,na,prep:acc,27
390,ożywienie,ożywienie,subst:sg:acc:n,27
391,gospodarcze,gospodarczy,adj:sg:acc:n:pos,27
392,dopiero,dopiero,qub,27
393,za,za,prep:acc,27
394,6,6,num:pl:acc:m3:rec,27
395,-,-,interp,27
396,8,8,num:pl:acc:m3:rec,27
397,miesięcy,miesiąc,subst:pl:gen:m3,27
398,.,.,interp,27
399,Takie,taki,adj:pl:nom:f:pos,28
400,są,być,fin:pl:ter:imperf,28
401,sprawdzone,sprawdzić,ppas:pl:nom:f:perf:aff,28
402,reguły,reguła,subst:pl:nom:f,28
403,ekonomiczne,ekonomiczny,adj:pl:nom:f:pos,28
404,i,i,conj,28
405,my,my,ppron12:pl:nom:m1:pri,28
406,ich,on,ppron3:pl:gen:f:ter:akc:npraep,28
407,nie,nie,qub,28
408,zmienimy,zmienić,fin:pl:pri:perf,28
409,.,.,interp,28
410,Projekt,projekt,subst:sg:nom:m3,29
411,przyszłorocznego,przyszłoroczny,adj:sg:gen:m3:pos,29
412,budżetu,budżet,subst:sg:gen:m3,29
413,",",",",interp,29
414,który,który,adj:sg:acc:m3:pos,29
415,przedstawił,przedstawić,praet:sg:m1:perf,29
416,wicepremier,wicepremier,subst:sg:nom:m1,29
417,Marek,Marek,subst:sg:nom:m1,29
418,Belka,Belka,subst:sg:nom:m1,29
419,",",",",interp,29
420,opiera,opierać,fin:sg:ter:imperf,29
421,się,się,qub,29
422,-,-,interp,29
423,tak,tak,adv:pos,29
424,się,się,qub,29
425,wydaje,wydawać,fin:sg:ter:imperf,29
426,-,-,interp,29
427,na,na,prep:loc,29
428,ekonomicznym,ekonomiczny,adj:sg:loc:m3:pos,29
429,optymizmie,optymizm,subst:sg:loc:m3,29
430,.,.,interp,29
431,Czy,czy,qub,30
432,są,być,fin:pl:ter:imperf,30
433,ku,ku,prep:dat,30
434,temu,to,subst:sg:dat:n,30
435,rzeczywiste,rzeczywisty,adj:pl:nom:m3:pos,30
436,powody,powód,subst:pl:nom:m3,30
437,?,?,interp,30
438,Po,po,prep:loc,31
439,tych,ten,adj:pl:loc:n:pos,31
440,polskich,polski,adj:pl:loc:n:pos,31
441,wydarzeniach,wydarzenie,subst:pl:loc:n,31
442,przenieśli,przenieść,praet:pl:m1:perf,31
443,śmy,być,aglt:pl:pri:imperf:nwok,31
444,się,się,qub,31
445,do,do,prep:gen,31
446,Londynu,Londyn,subst:sg:gen:m3,31
447,",",",",interp,31
448,gdzie,gdzie,adv,31
449,w,w,prep:loc:nwok,31
450,renomowanym,renomowany,adj:sg:loc:m3:pos,31
451,hotelu,hotel,subst:sg:loc:m3,31
452,odbywało,odbywać,praet:sg:n:imperf,31
453,się,się,qub,31
454,wręczanie,wręczać,ger:sg:nom:n:imperf:aff,31
455,nagród,nagroda,subst:pl:gen:f,31
456,znanego,znany,adj:sg:gen:n:pos,31
457,pisma,pismo,subst:sg:gen:n,31
458,muzycznego,muzyczny,adj:sg:gen:n:pos,31
459,"""","""",interp,31
460,Q,Q,subst:sg:nom:n,31
461,"""","""",interp,31
462,.,.,interp,31
463,W,w,prep:loc:nwok,32
464,reportażu,reportaż,subst:sg:loc:m3,32
465,tym,ten,adj:sg:inst:m3:pos,32
466,największe,duży,adj:sg:acc:n:sup,32
467,wrażenie,wrażenie,subst:sg:acc:n,32
468,zrobił,zrobić,praet:sg:m1:perf,32
469,podstarzały,podstarzały,adj:sg:nom:m1:pos,32
470,wprawdzie,wprawdzie,qub,32
471,Johny,Johny,subst:sg:nom:m1,32
472,Rotten,Rotten,subst:sg:nom:m1,32
473,",",",",interp,32
474,lider,lider,subst:sg:nom:m1,32
475,punkowego,punkowy,adj:sg:gen:m3:pos,32
476,zespołu,zespół,subst:sg:gen:m3,32
477,Sex,Sex,subst:sg:nom:m3,32
478,Pistols,Pistols,subst:sg:nom:m3,32
479,",",",",interp,32
480,który,który,adj:sg:nom:m3:pos,32
481,kazał,kazać,praet:sg:m3:imperf,32
482,rozwydrzonym,rozwydrzyć,ppas:pl:dat:m1:perf:aff,32
483,i,i,conj,32
484,rozochoconym,rozochocić,ppas:pl:dat:m1:perf:aff,32
485,gościom,gość,subst:pl:dat:m1,32
486,po,po,prep:acc,32
487,prostu,prosty,adjp,32
488,"""","""",interp,32
489,zamknąć,zamknąć,inf:perf,32
490,się,się,qub,32
491,"""","""",interp,32
492,.,.,interp,32
493,Tak,tak,qub,33
494,więc,więc,conj,33
495,"""","""",interp,33
496,SuperVIP,SuperVIP,subst:sg:nom:m3,33
497,"""","""",interp,33
498,to,to,pred,33
499,jeszcze,jeszcze,qub,33
500,jeden,jeden,adj:sg:nom:m3:pos,33
501,tradycyjny,tradycyjny,adj:sg:nom:m3:pos,33
502,program,program,subst:sg:nom:m3,33
503,prezentujący,prezentować,pact:sg:nom:m3:imperf:aff,33
504,nowości,nowość,subst:pl:acc:f,33
505,ze,z,prep:gen:wok,33
506,świata,świat,subst:sg:gen:m3,33
507,popkultury,popkultura,subst:sg:gen:f,33
508,.,.,interp,33
509,Nie,nie,qub,34
510,ma,mieć,fin:sg:ter:imperf,34
511,w,w,prep:loc:nwok,34
512,nim,on,ppron3:sg:loc:m3:ter:akc:praep,34
513,",",",",interp,34
514,wbrew,wbrew,prep:dat,34
515,temu,ten,adj:sg:dat:n:pos,34
516,co,co,subst:sg:acc:n,34
517,można,można,pred,34
518,by,by,qub,34
519,sądzić,sądzić,inf:imperf,34
520,",",",",interp,34
521,żadnych,żaden,adj:pl:gen:f:pos,34
522,plotek,plotka,subst:pl:gen:f,34
523,i,i,conj,34
524,skandali,skandal,subst:pl:gen:m3,34
525,",",",",interp,34
526,także,także,qub,34
527,sama,sam,adj:sg:nom:f:pos,34
528,formuła,formuła,subst:sg:nom:f,34
529,programu,program,subst:sg:gen:m3,34
530,",",",",interp,34
531,gdzie,gdzie,adv,34
532,na,na,prep:acc,34
533,przemian,przemian,burk,34
534,pojawia,pojawiać,fin:sg:ter:imperf,34
535,się,się,qub,34
536,prowadząca,prowadzić,pact:sg:nom:f:imperf:aff,34
537,go,on,ppron3:sg:acc:m3:ter:nakc:npraep,34
538,Ewa,Ewa,subst:sg:nom:f,34
539,Olbrychska,Olbrychska,subst:sg:nom:f,34
540,i,i,conj,34
541,krótkie,krótki,adj:pl:nom:m3:pos,34
542,reportaże,reportaż,subst:pl:nom:m3,34
543,bądź,bądź,conj,34
544,wywiady,wywiad,subst:pl:nom:m3,34
545,",",",",interp,34
546,jest,być,fin:sg:ter:imperf,34
547,mocno,mocno,adv:pos,34
548,ugrzeczniona,ugrzeczniony,adj:sg:nom:f:pos,34
549,i,i,conj,34
550,nie,nie,qub,34
551,odbiega,odbiegać,fin:sg:ter:imperf,34
552,od,oda,subst:pl:gen:f,34
553,konwencji,konwencja,subst:sg:gen:f,34
554,tradycyjnego,tradycyjny,adj:sg:gen:m3:pos,34
555,programu,program,subst:sg:gen:m3,34
556,informacyjnego,informacyjny,adj:sg:gen:m3:pos,34
557,.,.,interp,34
558,1,1,adj:sg:nom:m3:pos,35
559,.,.,interp,35
560,Przewodniczący,przewodniczący,subst:sg:nom:m1,35
561,sesji,sesja,subst:sg:gen:f,35
562,giełdowej,giełdowy,adj:sg:gen:f:pos,35
563,może,móc,fin:sg:ter:imperf,35
564,nadzorować,nadzorować,inf:imperf,35
565,wykonywanie,wykonywać,ger:sg:acc:n:imperf:aff,35
566,zadań,zadanie,subst:pl:gen:n,35
567,",",",",interp,35
568,o,o,prep:loc,35
569,których,który,adj:pl:loc:n:pos,35
570,mowa,mowa,subst:sg:nom:f,35
571,w,w,prep:loc:nwok,35
572,§,§,interp,35
573,85,85,adj:sg:loc:m3:pos,35
574,.,.,interp,35
575,2,2,adj:sg:loc:m3:pos,35
576,.,.,interp,35
577,Giełda,giełda,subst:sg:nom:f,36
578,może,móc,fin:sg:ter:imperf,36
579,podjąć,podjąć,inf:perf,36
580,lub,lub,conj,36
581,w,w,prep:loc:nwok,36
582,szczególnie,szczególnie,adv:pos,36
583,uzasadnionych,uzasadnić,ppas:pl:loc:m3:perf:aff,36
584,przypadkach,przypadek,subst:pl:loc:m3,36
585,przejąć,przejąć,inf:perf,36
586,wykonywanie,wykonywać,ger:sg:acc:n:imperf:aff,36
587,zadań,zadanie,subst:pl:gen:n,36
588,określonych,określić,ppas:pl:gen:n:perf:aff,36
589,w,w,prep:loc:nwok,36
590,§,§,interp,36
591,85,85,adj:sg:loc:m3:pos,36
592,lit,litera,brev:pun,36
593,.,.,interp,36
594,a,a,subst:sg:nom:n,36
595,),),interp,36
596,",",",",interp,36
597,c,c,subst:sg:nom:n,36
598,),),interp,36
599,.,.,interp,36
600,Interwencja,interwencja,subst:sg:nom:f,37
601,wówczas,wówczas,adv,37
602,nie,nie,qub,37
603,następuje,następować,fin:sg:ter:imperf,37
604,.,.,interp,37
605,87,87,adj:sg:nom:m3:pos,38
606,Członek,członek,subst:sg:nom:m1,38
607,giełdy,giełda,subst:sg:gen:f,38
608,-,-,interp,38
609,specjalista,specjalista,subst:sg:nom:m1,38
610,jest,być,fin:sg:ter:imperf,38
611,zobowiązany,zobowiązany,adj:sg:nom:m1:pos,38
612,na,na,prep:acc,38
613,żądanie,żądanie,subst:sg:acc:n,38
614,Zarządu,zarząd,subst:sg:gen:m3,38
615,Giełdy,giełda,subst:sg:gen:f,38
616,przedstawić,przedstawić,inf:perf,38
617,informację,informacja,subst:sg:acc:f,38
618,o,o,prep:loc,38
619,limicie,limit,subst:sg:loc:m3,38
620,środków,środek,subst:pl:gen:m3,38
621,przeznaczonych,przeznaczyć,ppas:pl:gen:f:perf:aff,38
622,na,na,prep:acc,38
623,wykonywanie,wykonywać,ger:sg:acc:n:imperf:aff,38
624,zadań,zadanie,subst:pl:gen:n,38
625,specjalisty,specjalista,subst:sg:gen:m1,38
626,.,.,interp,38
627,88,88,adj:sg:nom:m3:pos,39
628,1,1,adj:sg:nom:m3:pos,39
629,.,.,interp,39
630,Odpis,odpis,subst:sg:acc:m3,39
631,umowy,umowa,subst:sg:gen:f,39
632,",",",",interp,39
633,o,o,prep:loc,39
634,której,który,adj:sg:loc:f:pos,39
635,mowa,mowa,subst:sg:nom:f,39
636,w,w,prep:loc:nwok,39
637,§,§,interp,39
638,84,84,adj:sg:loc:m3:pos,39
639,",",",",interp,39
640,członek,członek,subst:sg:nom:m1,39
641,giełdy,giełda,subst:sg:gen:f,39
642,-,-,interp,39
643,specjalista,specjalista,subst:sg:nom:m1,39
644,obowiązany,obowiązany,adj:sg:nom:m1:pos,39
645,jest,być,fin:sg:ter:imperf,39
646,przekazać,przekazać,inf:perf,39
647,Zarządowi,zarząd,subst:sg:dat:m3,39
648,Giełdy,giełda,subst:sg:gen:f,39
649,",",",",interp,39
650,przed,przed,prep:inst:nwok,39
651,wydaniem,wydać,ger:sg:inst:n:perf:aff,39
652,zgody,zgoda,subst:sg:gen:f,39
653,",",",",interp,39
654,o,o,prep:loc,39
655,której,który,adj:sg:loc:f:pos,39
656,mowa,mowa,subst:sg:nom:f,39
657,w,w,prep:loc:nwok,39
658,§,§,interp,39
659,84,84,adj:sg:loc:m3:pos,39
660,.,.,interp,39
661,2,2,adj:sg:loc:m3:pos,39
662,.,.,interp,39
663,Spory,spór,subst:pl:acc:m3,40
664,wynikające,wynikać,pact:pl:acc:m3:imperf:aff,40
665,z,z,prep:gen:nwok,40
666,umowy,umowa,subst:sg:gen:f,40
667,",",",",interp,40
668,o,o,prep:loc,40
669,której,który,adj:sg:loc:f:pos,40
670,mowa,mowa,subst:sg:nom:f,40
671,w,w,prep:loc:nwok,40
672,ust,ustęp,brev:pun,40
673,.,.,interp,40
674,1,1,adj:sg:loc:m3:pos,40
675,strony,strona,subst:pl:nom:f,40
676,mogą,móc,fin:pl:ter:imperf,40
677,poddać,poddać,inf:perf,40
678,właściwości,właściwość,subst:sg:dat:f,40
679,Sądu,sąd,subst:sg:gen:m3,40
680,Giełdowego,giełdowy,adj:sg:gen:m3:pos,40
681,.,.,interp,40
682,89,89,adj:sg:nom:m3:pos,41
683,Wykonując,wykonywać,pcon:imperf,41
