,orth,base,ctag,chunk
55,em,być,aglt:sg:pri:imperf:wok,2
56,na,na,prep:acc,2
57,wieczną,wieczny,adj:sg:acc:f:pos,2
58,zgubę,zguba,subst:sg:acc:f,2
59,w,w,prep:acc:nwok,2
60,Petersburgu,Petersburg,subst:sg:loc:m3,2
61,.,.,interp,2
62,Poczciwy,poczciwy,adj:sg:nom:m1:pos,3
63,Staś,Stasia,subst:pl:gen:f,3
64,Sierakowski,Sierakowski,subst:sg:nom:m1,3
65,pośpieszył,pośpieszyć,praet:sg:m1:perf,3
66,mi,mi,subst:sg:nom:n,3
67,z,z,prep:gen:nwok,3
68,pomocą,pomoc,subst:sg:inst:f,3
69,",",",",interp,3
70,by,by,comp,3
71,wyjaśnić,wyjaśnić,inf:perf,3
72,moje,moja,subst:pl:nom:f,3
73,niepowodzenia,niepowodzenie,subst:sg:gen:n,3
74,.,.,interp,3
75,-,-,interp,4
76,Pokaż,pokazać,impt:sg:sec:perf,4
77,mi,mi,subst:sg:nom:n,4
78,strzelbę,strzelba,subst:sg:acc:f,4
79,-,-,interp,4
80,poprosił,poprosić,praet:sg:m1:perf,4
81,",",",",interp,4
82,a,a,conj,4
83,gdy,gdy,adv:pos,4
84,podał,podać,praet:sg:m1:perf,4
85,em,być,aglt:sg:pri:imperf:wok,4
86,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,4
87,mojego,moje,subst:sg:gen:n,4
88,mauzera,mauzer,subst:sg:gen:m2,4
89,",",",",interp,4
90,spytał,spytać,praet:sg:m1:perf,4
91,ze,z,prep:gen:wok,4
92,śmiechem,śmiech,subst:sg:inst:m3,4
93,:,:,interp,4
94,-,-,interp,4
95,Gdzieś,gdzieś,adv:pos,4
96,to,to,conj,4
97,świństwo,świństwo,subst:sg:nom:n,4
98,wykopał,wykopać,praet:sg:m1:perf,4
99,?,?,interp,4
100,-,-,interp,5
101,Ano,ano,interj,5
102,w,w,prep:acc:nwok,5
103,Gdańsku,gdański,adjp,5
104,-,-,interp,5
105,odrzekł,odrzec,praet:sg:m1:perf,5
106,em,być,aglt:sg:pri:imperf:wok,5
107,zawstydzony,zawstydzony,adj:sg:nom:m1:pos,5
108,.,.,interp,5
109,-,-,interp,6
110,Chyba,chyba,qub,6
111,był,być,praet:sg:m1:imperf,6
112,eś,być,aglt:sg:sec:imperf:wok,6
113,ślepy,ślepy,subst:sg:nom:m1,6
114,",",",",interp,6
115,kupując,kupować,pcon:imperf,6
116,taką,taka,subst:sg:inst:f,6
117,szkaradę,szkarada,subst:sg:acc:f,6
118,.,.,interp,6
119,Z,z,prep:gen:nwok,7
120,czego,czego,adv:pos,7
121,strzelał,strzelać,praet:sg:m1:imperf,7
122,eś,być,aglt:sg:sec:imperf:wok,7
123,przed,przed,prep:acc:nwok,7
124,wojną,wojna,subst:sg:inst:f,7
125,?,?,interp,7
126,-,-,interp,8
127,Miałem,miał,subst:sg:inst:m3,8
128,hollandy,Holland,depr:pl:nom:m2,8
129,-,-,interp,8
130,odrzekł,odrzec,praet:sg:m1:perf,8
131,em,być,aglt:sg:pri:imperf:wok,8
132,.,.,interp,8
133,-,-,interp,9
134,Jedyna,jedyna,subst:sg:nom:f,9
135,rada,rada,subst:sg:nom:f,9
136,-,-,interp,9
137,rzekł,rzec,praet:sg:m1:imperf,9
138,w,w,prep:acc:nwok,9
139,końcu,koniec,subst:sg:loc:m3,9
140,Staś,Stasia,subst:pl:gen:f,9
141,po,po,prep:acc,9
142,oględzinach,oględziny,subst:pl:loc:n,9
143,mojej,moja,subst:sg:gen:f,9
144,broni,broń,subst:sg:gen:f,9
145,.,.,interp,9
146,-,-,interp,10
147,Każ,kijże,adj:sg:nom:f:pos,10
148,Każ,kiż,adj:sg:nom:f:pos,10
149,sobie,siebie,siebie:dat,10
150,skrócić,skrócić,inf:perf,10
151,szyję,szyja,subst:sg:acc:f,10
152,na,na,prep:acc,10
153,dobrych,dobre,subst:pl:gen:n,10
154,kilka,kilka,subst:sg:nom:f,10
155,centymetrów,centymetr,subst:pl:gen:m3,10
156,",",",",interp,10
157,albo,albo,conj,10
158,jeszcze,jeszcze,qub,10
159,lepiej,dobrze,adv:pos,10
160,rzuć,rzucić,impt:sg:sec:perf,10
161,to,to,conj,10
162,świństwo,świństwo,subst:sg:nom:n,10
163,do,do,prep:gen,10
164,pieca,piec,subst:sg:gen:m3,10
165,",",",",interp,10
166,a,a,conj,10
167,co,co,comp,10
168,się,się,qub,10
169,nie,nie,conj,10
170,spali,spać,praet:pl:m1:imperf,10
171,-,-,interp,10
172,na,na,prep:acc,10
173,śmietnik,śmietnik,subst:sg:nom:m3,10
174,.,.,interp,10
175,Przestrzeń,przestrzeń,subst:sg:nom:f,11
176,dzielącą,dzielić,pact:sg:acc:f:imperf:aff,11
177,je,on,ppron3:sg:acc:n:ter:akc:npraep,11
178,od,od,prep:gen:nwok,11
179,kolejnego,kolejny,adj:sg:gen:m1:pos,11
180,skłonu,skłon,subst:sg:gen:m3,11
181,schodów,schody,subst:pl:gen:n,11
182,pokonało,pokonać,praet:sg:n:perf,11
183,",",",",interp,11
184,kolebiąc,kolebać,pcon:imperf,11
185,się,się,qub,11
186,na,na,prep:acc,11
187,boki,bok,subst:pl:nom:m3,11
188,",",",",interp,11
189,rozkołysanym,rozkołysać,ppas:sg:inst:m1:perf:aff,11
190,kaczym,kaczy,adj:sg:inst:m1:pos,11
191,chodem,chód,subst:sg:inst:m3,11
192,.,.,interp,11
193,Najdziwniejsze,dziwny,adj:sg:nom:n:sup,12
194,jednak,jednak,conj,12
195,było,być,praet:sg:n:imperf,12
196,to,to,conj,12
197,",",",",interp,12
198,co,co,comp,12
199,nastąpiło,nastąpić,praet:sg:n:perf,12
200,potem,potem,adv:pos,12
201,.,.,interp,12
202,Jego,on,ppron3:sg:gen:m1:ter:akc:npraep,13
203,wspinanie,wspinać,ger:sg:nom:n:imperf:aff,13
204,się,się,qub,13
205,na,na,prep:acc,13
206,stopień,stopień,subst:sg:nom:m3,13
207,.,.,interp,13
208,Mianowicie,mianowicie,conj,14
209,najpierw,najpierw,adv:pos,14
210,przed,przed,prep:acc:nwok,14
211,nim,nim,comp,14
212,stanęło,stanąć,praet:sg:n:perf,14
213,",",",",interp,14
214,niemal,niemal,qub,14
215,doń,donia,subst:pl:gen:f,14
216,przywarło,przywrzeć,praet:sg:n:perf,14
217,.,.,interp,14
218,Samo,samo,adv:pos,15
219,zresztą,zresztą,qub,15
220,było,być,praet:sg:n:imperf,15
221,niewiele,niewiele,adv:pos,15
222,od,od,prep:gen:nwok,15
223,niego,on,ppron3:sg:gen:m1:ter:akc:praep,15
224,wyższe,wysoki,adj:sg:nom:n:com,15
225,.,.,interp,15
226,A,a,conj,16
227,potem,potem,adv:pos,16
228,z,z,prep:gen:nwok,16
229,olbrzymim,olbrzymi,adj:sg:inst:m1:pos,16
230,wysiłkiem,wysiłek,subst:sg:inst:m3,16
231,zaczęło,zacząć,praet:sg:n:perf,16
232,się,się,qub,16
233,na,na,prep:acc,16
234,ń,on,ppron3:sg:gen:m1:ter:nakc:praep,16
235,wspinać,wspinać,inf:imperf,16
236,",",",",interp,16
237,a,a,conj,16
238,kiedy,kiedy,comp,16
239,betonowa,betonowy,adj:sg:nom:f:pos,16
240,krawędź,krawędź,subst:sg:nom:f,16
241,była,była,subst:sg:nom:f,16
242,już,już,qub,16
243,w,w,prep:acc:nwok,16
244,połowie,połowa,subst:sg:dat:f,16
245,jego,on,ppron3:sg:gen:m1:ter:akc:npraep,16
246,wysokości,wysokość,subst:sg:gen:f,16
247,",",",",interp,16
248,ostrożnie,ostrożnie,adv:pos,16
249,się,się,qub,16
250,pochylając,pochylać,pcon:imperf,16
251,powoli,powoli,adv:pos,16
252,przeważyło,przeważyć,praet:sg:n:perf,16
253,ciężar,ciężar,subst:sg:nom:m3,16
254,ciała,ciało,subst:sg:gen:n,16
255,na,na,prep:acc,16
256,poziomą,poziomy,adj:sg:acc:f:pos,16
257,płaszczyznę,płaszczyzna,subst:sg:acc:f,16
258,stopnia,stopień,subst:sg:gen:m3,16
259,.,.,interp,16
260,Jakby,jakby,comp,17
261,nie,nie,conj,17
262,mogło,móc,praet:sg:n:imperf,17
263,się,się,qub,17
264,zginać,zginać,inf:imperf,17
265,",",",",interp,17
266,jakby,jakby,comp,17
267,kręgosłup,kręgosłup,subst:sg:nom:m3,17
268,miało,mieć,praet:sg:n:imperf,17
269,całkiem,całkiem,adv:pos,17
270,zesztywniały,zesztywniały,adj:sg:nom:m1:pos,17
271,.,.,interp,17
272,W,w,prep:acc:nwok,18
273,końcu,koniec,subst:sg:loc:m3,18
274,udało,udać,praet:sg:n:perf,18
275,się,się,qub,18
276,.,.,interp,18
277,Z,z,prep:gen:nwok,19
278,lekkim,lekki,adj:sg:inst:m1:pos,19
279,stukotem,stukot,subst:sg:inst:m3,19
280,opadło,opaść,praet:sg:n:perf,19
281,na,na,prep:acc,19
282,brzuch,brzuch,subst:sg:nom:m3,19
283,.,.,interp,19
284,Leżąc,leżeć,pcon:imperf,20
285,tak,tak,adv:pos,20
286,",",",",interp,20
287,wydało,wydać,praet:sg:n:perf,20
288,z,z,prep:gen:nwok,20
289,siebie,siebie,siebie:gen,20
290,właśnie,właśnie,adv:pos,20
291,to,to,conj,20
292,jedyne,jedyna,subst:pl:nom:f,20
293,w,w,prep:acc:nwok,20
294,swoim,swoje,subst:sg:inst:n,20
295,rodzaju,rodzaj,subst:sg:gen:m3,20
296,cichutkie,cichutki,adj:sg:nom:n:pos,20
297,jęknięcie,jęknąć,ger:sg:nom:n:perf:aff,20
298,.,.,interp,20
299,Osiągnąwszy,osiągnąć,pant:perf,21
300,tę,ten,adj:sg:acc:f:pos,21
301,fazę,faza,subst:sg:acc:f,21
302,wspinaczki,wspinaczka,subst:sg:gen:f,21
303,",",",",interp,21
304,przeszło,przeszło,qub,21
305,po,po,prep:acc,21
306,chwili,chwila,subst:sg:gen:f,21
307,do,do,prep:gen,21
308,następnego,następny,subst:sg:gen:m1,21
309,etapu,etap,subst:sg:gen:m3,21
310,.,.,interp,21
311,Ciągle,ciągle,adv:pos,22
312,leżąc,leżeć,pcon:imperf,22
313,",",",",interp,22
314,zaczęło,zacząć,praet:sg:n:perf,22
315,się,się,qub,22
316,czołgać,czołgać,inf:imperf,22
317,dalej,daleko,adv:pos,22
318,",",",",interp,22
319,aż,aż,comp,22
320,do,do,prep:gen,22
321,chwili,chwila,subst:sg:gen:f,22
322,kiedy,kiedy,comp,22
323,środek,środek,subst:sg:nom:m3,22
324,ciężkości,ciężkość,subst:sg:gen:f,22
325,",",",",interp,22
326,w,w,prep:acc:nwok,22
327,ogóle,ogół,subst:sg:loc:m3,22
328,całe,cały,adj:sg:nom:n:pos,22
329,ciało,ciało,subst:sg:nom:n,22
330,",",",",interp,22
331,całkowicie,całkowicie,adv:pos,22
332,znalazło,znaleźć,praet:sg:n:perf,22
333,się,się,qub,22
334,na,na,prep:acc,22
335,stopniu,stopień,subst:sg:loc:m3,22
336,.,.,interp,22
337,-,-,interp,23
338,Nie,nie,conj,23
339,widzę,widzieć,fin:sg:pri:imperf,23
340,większego,duży,adj:sg:gen:m1:com,23
341,większego,wielki,adj:sg:gen:m1:com,23
342,ryzyka,ryzyka,subst:sg:nom:f,23
343,dla,dla,prep:gen,23
344,takiej,taki,adj:sg:gen:f:pos,23
345,decyzji,decyzja,subst:sg:gen:f,23
346,.,.,interp,23
347,Wystąpienie,wystąpienie,subst:sg:nom:n,24
348,tzw,tak_zwany,brev:pun,24
349,.,.,interp,24
350,impulsu,impuls,subst:sg:gen:m3,24
351,inflacyjnego,inflacyjny,adj:sg:gen:m1:pos,24
352,na,na,prep:acc,24
353,skutek,skutek,subst:sg:nom:m3,24
354,podwyżek,podwyżka,subst:pl:gen:f,24
355,cen,cena,subst:pl:gen:f,24
356,ropy,ropa,subst:sg:gen:f,24
357,na,na,prep:acc,24
358,świecie,świat,subst:sg:loc:m3,24
359,jest,być,fin:sg:ter:imperf,24
360,mało,mało,adv:pos,24
361,realne,realny,adj:sg:nom:n:pos,24
362,.,.,interp,24
363,Również,również,qub,25
364,duże,duha,subst:sg:dat:f,25
365,bezrobocie,bezrobocie,subst:sg:nom:n,25
366,i,i,conj,25
367,konkurencja,konkurencja,subst:sg:nom:f,25
368,na,na,prep:acc,25
369,rynku,rynek,subst:sg:gen:m3,25
370,będą,być,bedzie:pl:ter:imperf,25
371,dyscyplinować,dyscyplinować,inf:imperf,25
372,nasze,nasze,subst:sg:nom:n,25
373,ceny,cena,subst:sg:gen:f,25
374,.,.,interp,25
375,Ale,ale,conj,26
376,pamiętajmy,pamiętać,impt:pl:pri:imperf,26
377,",",",",interp,26
378,że,że,comp,26
379,ta,ta,qub,26
380,obniżka,obniżka,subst:sg:nom:f,26
381,-,-,interp,26
382,jeśli,jeśli,comp,26
383,do,do,prep:gen,26
384,niej,on,ppron3:sg:loc:f:ter:akc:npraep,26
385,dojdzie,dojść,fin:sg:ter:perf,26
386,-,-,interp,26
387,przełoży,przełożyć,fin:sg:ter:perf,26
388,się,się,qub,26
389,na,na,prep:acc,26
390,ożywienie,ożywienie,subst:sg:nom:n,26
391,gospodarcze,gospodarczy,adj:sg:nom:n:pos,26
392,dopiero,dopiero,qub,26
393,za,za,qub,26
394,6,6,num:pl:nom:m1:rec,26
395,-,-,interp,26
396,8,8,num:pl:nom:m1:rec,26
397,miesięcy,miesiąc,subst:pl:gen:m3,26
398,.,.,interp,26
399,Takie,taki,adj:sg:nom:n:pos,27
400,są,być,fin:pl:ter:imperf,27
401,sprawdzone,sprawdzić,ppas:sg:nom:n:perf:aff,27
402,reguły,reguła,subst:sg:gen:f,27
403,ekonomiczne,ekonomiczny,adj:sg:nom:n:pos,27
404,i,i,conj,27
405,my,my,ppron12:pl:nom:m1:pri,27
406,ich,on,ppron3:pl:gen:m1:ter:akc:npraep,27
407,nie,nie,conj,27
408,zmienimy,zmienić,fin:pl:pri:perf,27
409,.,.,interp,27
410,Projekt,projekt,subst:sg:nom:m3,28
411,przyszłorocznego,przyszłoroczny,adj:sg:gen:m1:pos,28
412,budżetu,budżet,subst:sg:gen:m3,28
413,",",",",interp,28
414,który,który,adj:sg:nom:m1:pos,28
415,przedstawił,przedstawić,praet:sg:m1:perf,28
416,wicepremier,wicepremier,subst:sg:nom:m1,28
417,Marek,Marek,subst:sg:nom:m1,28
418,Marek,marek,subst:sg:nom:m1,28
419,Belka,Belka,subst:sg:nom:m1,28
420,",",",",interp,28
421,opiera,opierać,fin:sg:ter:imperf,28
422,się,się,qub,28
423,-,-,interp,28
424,tak,tak,adv:pos,28
425,się,się,qub,28
426,wydaje,wydawać,fin:sg:ter:imperf,28
427,-,-,interp,28
428,na,na,prep:acc,28
429,ekonomicznym,ekonomiczny,adj:sg:inst:m1:pos,28
430,optymizmie,optymizm,subst:sg:loc:m3,28
431,.,.,interp,28
432,Czy,czy,conj,29
433,są,być,fin:pl:ter:imperf,29
434,ku,ku,prep:dat,29
435,temu,temu,prep:acc,29
436,rzeczywiste,rzeczywisty,adj:sg:nom:n:pos,29
437,powody,powód,subst:pl:nom:m3,29
438,?,?,interp,29
439,Po,po,prep:acc,30
440,tych,ten,adj:pl:gen:m1:pos,30
441,polskich,polski,subst:pl:gen:m3,30
442,wydarzeniach,wydarzenie,subst:pl:loc:n,30
443,przenieśli,przenieść,praet:pl:m1:perf,30
444,śmy,być,aglt:pl:pri:imperf:nwok,30
445,się,się,qub,30
446,do,do,prep:gen,30
447,Londynu,Londyn,subst:sg:gen:m3,30
448,",",",",interp,30
449,gdzie,gdzie,adv:pos,30
450,w,w,prep:acc:nwok,30
451,renomowanym,renomowany,adj:sg:inst:m1:pos,30
452,hotelu,hotel,subst:sg:gen:m3,30
453,odbywało,odbywać,praet:sg:n:imperf,30
454,się,się,qub,30
455,wręczanie,wręczać,ger:sg:nom:n:imperf:aff,30
456,nagród,nagroda,subst:pl:gen:f,30
457,znanego,znany,subst:sg:gen:m1,30
458,pisma,pismo,subst:sg:gen:n,30
459,muzycznego,muzyczny,adj:sg:gen:m1:pos,30
460,"""","""",interp,30
461,Q,Q,subst:sg:nom:n,30
462,"""","""",interp,30
463,.,.,interp,30
464,W,w,prep:acc:nwok,31
465,reportażu,reportaż,subst:sg:gen:m3,31
466,tym,tym,conj,31
467,największe,duży,adj:sg:nom:n:sup,31
468,największe,wielki,adj:sg:nom:n:sup,31
469,wrażenie,wrażenie,subst:sg:nom:n,31
470,zrobił,zrobić,praet:sg:m1:perf,31
471,podstarzały,podstarzały,adj:sg:nom:m1:pos,31
472,wprawdzie,wprawdzie,qub,31
473,Johny,John,depr:pl:nom:m2,31
474,Rotten,Rotten,ign,31
475,",",",",interp,31
476,lider,lider,subst:sg:nom:m1,31
477,punkowego,punkowy,adj:sg:gen:m1:pos,31
478,zespołu,zespół,subst:sg:gen:m3,31
479,Sex,sex,subst:sg:nom:m3,31
480,Pistols,Pistols,ign,31
481,",",",",interp,31
482,który,który,adj:sg:nom:m1:pos,31
483,kazał,kazać,praet:sg:m1:imperf,31
484,rozwydrzonym,rozwydrzyć,ppas:sg:inst:m1:perf:aff,31
485,i,i,conj,31
486,rozochoconym,rozochocony,adj:sg:inst:m1:pos,31
487,gościom,gościa,subst:pl:dat:f,31
488,po,po,prep:acc,31
489,prostu,prosty,adjp,31
490,"""","""",interp,31
491,zamknąć,zamknąć,inf:perf,31
492,się,się,qub,31
493,"""","""",interp,31
494,.,.,interp,31
495,Tak,tak,adv:pos,32
496,więc,więc,conj,32
497,"""","""",interp,32
498,SuperVIP,SuperVIP,ign,32
499,"""","""",interp,32
500,to,to,conj,32
501,jeszcze,jeszcze,qub,32
502,jeden,jeden,subst:sg:nom:m2,32
503,tradycyjny,tradycyjny,adj:sg:nom:m1:pos,32
504,program,program,subst:sg:nom:m3,32
505,prezentujący,prezentować,pact:sg:nom:m1:imperf:aff,32
506,nowości,nowość,subst:sg:gen:f,32
507,ze,z,prep:gen:wok,32
508,świata,świat,subst:sg:gen:m3,32
509,popkultury,popkultura,subst:sg:gen:f,32
510,.,.,interp,32
511,Nie,nie,conj,33
512,ma,mój,adj:sg:nom:f:pos,33
513,w,w,prep:acc:nwok,33
514,nim,nim,comp,33
515,",",",",interp,33
516,wbrew,wbrew,adv:pos,33
517,temu,temu,prep:acc,33
518,co,co,comp,33
519,można,można,pred,33
520,by,by,comp,33
521,sądzić,sądzić,inf:imperf,33
522,",",",",interp,33
523,żadnych,żaden,adj:pl:gen:m1:pos,33
524,plotek,plotka,subst:pl:gen:f,33
525,i,i,conj,33
526,skandali,skandal,subst:pl:gen:m3,33
527,",",",",interp,33
528,także,także,qub,33
529,sama,sam,adj:sg:nom:f:pos,33
530,formuła,formuła,subst:sg:nom:f,33
531,programu,program,subst:sg:gen:m3,33
532,",",",",interp,33
533,gdzie,gdzie,adv:pos,33
534,na,na,prep:acc,33
535,przemian,przemian,subst:sg:nom:m3,33
536,pojawia,pojawiać,fin:sg:ter:imperf,33
537,się,się,qub,33
538,prowadząca,prowadząca,subst:sg:nom:f,33
539,go,go,subst:sg:nom:n,33
540,Ewa,Ewa,subst:sg:nom:f,33
541,Olbrychska,Olbrychska,subst:sg:nom:f,33
542,i,i,conj,33
543,krótkie,krótki,adj:sg:nom:n:pos,33
544,reportaże,reportaż,subst:pl:nom:m3,33
545,bądź,bądź,conj,33
546,wywiady,wywiad,subst:pl:nom:m3,33
547,",",",",interp,33
548,jest,być,fin:sg:ter:imperf,33
549,mocno,mocno,adv:pos,33
550,ugrzeczniona,ugrzeczniony,adj:sg:nom:f:pos,33
551,i,i,conj,33
552,nie,nie,conj,33
553,odbiega,odbiegać,fin:sg:ter:imperf,33
554,od,od,prep:gen:nwok,33
555,konwencji,konwencja,subst:sg:gen:f,33
556,tradycyjnego,tradycyjny,adj:sg:gen:m1:pos,33
557,programu,program,subst:sg:gen:m3,33
558,informacyjnego,informacyjny,adj:sg:gen:m1:pos,33
559,.,.,interp,33
560,1,1,num:pl:nom:m1:rec,34
561,.,.,interp,34
562,Przewodniczący,przewodniczący,subst:sg:nom:m1,35
563,sesji,sesja,subst:sg:gen:f,35
564,giełdowej,giełdowy,adj:sg:gen:f:pos,35
565,może,może,qub,35
566,nadzorować,nadzorować,inf:imperf,35
567,wykonywanie,wykonywać,ger:sg:nom:n:imperf:aff,35
568,zadań,zadanie,subst:pl:gen:n,35
569,",",",",interp,35
570,o,o,prep:acc,35
571,których,który,adj:pl:gen:m1:pos,35
572,mowa,mowa,subst:sg:nom:f,35
573,w,w,prep:acc:nwok,35
574,§,§,interp,35
575,85,85,num:pl:nom:m1:rec,35
576,.,.,interp,35
577,2,2,num:pl:nom:m1:rec,35
578,.,.,interp,35
579,Giełda,giełda,subst:sg:nom:f,36
580,może,może,qub,36
581,podjąć,podjąć,inf:perf,36
582,lub,lub,conj,36
583,w,w,prep:acc:nwok,36
584,szczególnie,szczególnie,adv:pos,36
585,uzasadnionych,uzasadniony,adj:pl:gen:m1:pos,36
586,przypadkach,przypadek,subst:pl:loc:m3,36
587,przejąć,przejąć,inf:perf,36
588,wykonywanie,wykonywać,ger:sg:nom:n:imperf:aff,36
589,zadań,zadanie,subst:pl:gen:n,36
590,określonych,określony,adj:pl:gen:m1:pos,36
591,w,w,prep:acc:nwok,36
592,§,§,interp,36
593,85,85,num:pl:nom:m1:rec,36
594,lit,lit,subst:sg:nom:m2,36
595,.,.,interp,36
596,a,a,conj,36
597,),),interp,36
598,",",",",interp,36
599,c,cent,brev:npun,36
600,),),interp,36
601,.,.,interp,36
602,Interwencja,interwencja,subst:sg:nom:f,37
603,wówczas,wówczas,adv:pos,37
604,nie,nie,conj,37
605,następuje,następować,fin:sg:ter:imperf,37
606,.,.,interp,37
607,87Członek,87Członek,ign,38
608,giełdy,giełda,subst:sg:gen:f,38
609,-,-,interp,38
610,specjalista,specjalista,subst:sg:nom:m1,38
611,jest,być,fin:sg:ter:imperf,38
612,zobowiązany,zobowiązany,subst:sg:nom:m1,38
613,na,na,prep:acc,38
614,żądanie,żądanie,subst:sg:nom:n,38
615,Zarządu,zarząd,subst:sg:gen:m3,38
616,Giełdy,giełda,subst:sg:gen:f,38
617,przedstawić,przedstawić,inf:perf,38
618,informację,informacja,subst:sg:acc:f,38
619,o,o,prep:acc,38
620,limicie,limit,subst:sg:loc:m3,38
621,środków,środek,subst:pl:gen:m3,38
622,przeznaczonych,przeznaczyć,ppas:pl:gen:m1:perf:aff,38
623,na,na,prep:acc,38
624,wykonywanie,wykonywać,ger:sg:nom:n:imperf:aff,38
625,zadań,zadanie,subst:pl:gen:n,38
626,specjalisty,specjalista,subst:sg:gen:m1,38
627,.,.,interp,38
628,881,881,num:pl:nom:m1:rec,39
629,.,.,interp,39
630,Odpis,odpis,subst:sg:nom:m3,40
631,umowy,umowa,subst:sg:gen:f,40
632,",",",",interp,40
633,o,o,prep:acc,40
634,której,który,adj:sg:gen:f:pos,40
635,mowa,mowa,subst:sg:nom:f,40
636,w,w,prep:acc:nwok,40
637,§,§,interp,40
638,84,84,num:pl:nom:m1:rec,40
639,",",",",interp,40
640,członek,członek,subst:sg:nom:m1,40
641,giełdy,giełda,subst:sg:gen:f,40
642,-,-,interp,40
643,specjalista,specjalista,subst:sg:nom:m1,40
644,obowiązany,obowiązany,subst:sg:nom:m1,40
645,jest,być,fin:sg:ter:imperf,40
646,przekazać,przekazać,inf:perf,40
647,Zarządowi,zarząd,subst:sg:dat:m3,40
648,Giełdy,giełda,subst:sg:gen:f,40
649,",",",",interp,40
650,przed,przed,prep:acc:nwok,40
651,wydaniem,wydanie,subst:sg:inst:n,40
652,zgody,zgoda,subst:sg:gen:f,40
653,",",",",interp,40
654,o,o,prep:acc,40
655,której,który,adj:sg:gen:f:pos,40
656,mowa,mowa,subst:sg:nom:f,40
657,w,w,prep:acc:nwok,40
658,§,§,interp,40
659,84,84,num:pl:nom:m1:rec,40
660,.,.,interp,40
661,2,2,num:pl:nom:m1:rec,40
662,.,.,interp,40
663,Spory,spora,subst:sg:gen:f,41
664,wynikające,wynikać,pact:sg:nom:n:imperf:aff,41
665,z,z,prep:gen:nwok,41
666,umowy,umowa,subst:sg:gen:f,41
667,",",",",interp,41
668,o,o,prep:acc,41
669,której,który,adj:sg:gen:f:pos,41
670,mowa,mowa,subst:sg:nom:f,41
671,w,w,prep:acc:nwok,41
672,ust,usta,subst:pl:gen:n,41
673,.,.,interp,41
674,1,1,num:pl:nom:m1:rec,41
675,strony,strona,subst:sg:gen:f,41
676,mogą,móc,fin:pl:ter:imperf,41
677,poddać,poddać,inf:perf,41
678,właściwości,właściwość,subst:sg:gen:f,41
679,Sądu,sąd,subst:sg:gen:m3,41
680,Giełdowego,giełdowy,adj:sg:gen:m1:pos,41
681,.,.,interp,41
682,89Wykonując,89Wykonując,ign,42
683,zadania,zadanie,subst:sg:gen:n,42
684,specjalisty,specjalista,subst:sg:gen:m1,42
685,",",",",interp,42
686,członek,członek,subst:sg:nom:m1,42
687,giełdy,giełda,subst:sg:gen:f,42
688,powinien,powinien,winien:sg:m1:imperf,42
689,kierować,kierować,inf:imperf,42
690,się,się,qub,42
691,przede,przed,prep:acc:wok,42
692,wszystkim,wszyscy,subst:pl:dat:m1,42
693,interesem,interes,subst:sg:inst:m3,42
694,uczestników,uczestnik,subst:pl:gen:m1,42
695,rynku,rynek,subst:sg:gen:m3,42
696,.,.,interp,42
697,1,1,num:pl:nom:m1:rec,43
698,.,.,interp,43
