,base,parts_of_speech,n_occurrences
117,charakterystyka,rzecz,49
118,bezpośredni,przym,104
119,mieć,czas,729
120,niski,przym,221
121,efektywność,rzecz,10
122,energetyczny,przym,24
123,efektywny,przym,18
124,trajektoria,rzecz,9
125,co,?,946
126,utrudniać,czas,24
127,zwalczanie,rzecz,47
128,poruszający,przym,24
129,duży,przym,1098
130,prędkość,rzecz,254
131,radiowo,przys,3
132,przewodowo,przys,1
133,:,?,8179
134,BGM,?,2
135,71,rzecz,57
136,TOW,?,2
137,9K113,?,1
138,konkurs,rzecz,447
139,Milan,rzecz,24
140,laserowo,przys,6
141,Starburst,?,1
142,Starstreak,?,1
143,9M133,?,1
144,kornet,rzecz,1
145,Ingwe,?,2
146,radarowo,?,2
147,RS,?,20
148,1U,?,1
149,9K33,?,1
150,osa,rzecz,40
151,zobaczyć,czas,519
152,też,?,1136
153,linek,rzecz,1050
154,link,rzecz,1072
155,zewnętrzny,przym,1152
156,autor,rzecz,301
157,komiks,rzecz,198
158,manga,rzecz,156
159,Pisz,rzecz,5
160,pod,?,1429
161,pseudonim,rzecz,72
162,wielki,przym,1218
163,sława,rzecz,31
164,zdobyć,czas,466
165,jako,?,2672
166,popularny,przym,138
167,seria,rzecz,679
168,Bleach,?,8
169,2005,rzecz,526
170,rok,rzecz,5272
171,dostać,czas,78
172,nagroda,rzecz,439
173,Shōgakukan,?,1
174,kategoria,rzecz,216
175,shōnen,?,9
176,historia,rzecz,681
177,Noriaki,?,4
178,syn,rzecz,328
179,członek,rzecz,409
180,rad,rzecz,195
181,miejski,przym,123
182,Fuchu,?,1
183,Aki,?,1
184,District,?,6
185,Hiroshima,?,1
186,absolwent,rzecz,40
187,liceum,rzecz,34
188,wiek,rzecz,696
189,18,rzecz,411
190,lato,rzecz,2499
191,złożyć,czas,57
192,pierwsza,rzecz,1358
193,koncepcja,rzecz,52
194,zombie,rzecz,21
195,Powder,?,6
196,zostać,czas,3979
197,odrzucić,czas,43
198,wiele,przys,7136
199,raz,rzecz,520
200,ale,?,748
201,kiedy,?,301
202,Kuba,rzecz,16
203,miał,rzecz,746
204,22,rzecz,316
205,Shonen,?,2
206,Jump,?,11
207,zgodzić,czas,33
208,wydawanie,rzecz,13
209,trwało,przys,11
210,długo,przys,65
211,brak,?,221
212,popularność,rzecz,64
213,lipiec,rzecz,552
214,2012,rzecz,337
215,osiągnąć,czas,235
216,500,rzecz,146
217,rozdział,rzecz,47
218,a,?,3996
219,anime,rzecz,123
220,tworzyć,czas,296
221,2004,rzecz,475
222,otrzymać,czas,528
223,Shogakukan,?,4
224,swój,przym,870
225,Makoto,?,5
226,Matsubara,?,1
227,dwa,rzecz,11942
228,nowelizacja,rzecz,5
229,opublikować,czas,173
230,Shueisha,?,4
231,książka,rzecz,301
232,film,rzecz,756
233,wydać,czas,455
234,Japonia,rzecz,216
235,16,rzecz,459
236,grudzień,rzecz,527
237,2006,rzecz,542
238,drugi,rzecz,274
239,2007,rzecz,607
240,trzeci,rzecz,178
241,13,rzecz,388
242,2008,rzecz,601
243,pojawiać,czas,192
244,112,rzecz,20
245,odcinek,rzecz,333
246,japoński,rzecz,212
247,program,rzecz,351
248,bajt,?,241
249,bit,?,321
250,Station,?,7
251,tym,?,1442
252,wywiad,rzecz,49
253,Masakazu,?,2
254,Morita,?,4
255,odpowiedzieć,czas,19
256,kilka,rzecz,5539
257,pytanie,rzecz,28
258,fan,rzecz,40
259,użyczyć,czas,5
260,głos,rzecz,171
261,Ichigo,?,2
262,26,rzecz,321
263,pojechać,czas,8
264,pierwszy,rzecz,667
265,Stany,rzecz,204
266,zjednoczyć,czas,233
267,pojawić,czas,196
268,San,rzecz,63
269,san,rzecz,73
270,Diego,rzecz,10
271,Comic,?,6
272,Con,?,7
273,International,?,41
274,utwór,rzecz,292
275,"""",?,6212
276,Ultra,?,4
277,Unholy,?,1
278,Hearted,?,1
279,Machine,?,10
280,1996,rzecz,285
281,Weekly,?,12
282,Shōnen,?,21
283,Special,?,15
284,ukazać,czas,144
285,tom,rzecz,172
286,trzy,rzecz,7447
287,bad,rzecz,22
288,Shield,?,1
289,United,?,47
290,1997,rzecz,335
291,cztery,rzecz,5617
292,początkowo,przys,262
293,publikować,czas,91
294,teraz,przys,47
295,także,?,1346
296,inny,rzecz,1455
297,kraj,rzecz,580
298,między_innymi,?,684
299,USA,rzecz,265
300,wydawać,czas,133
301,Viz,?,1
302,media,rzecz,53
303,medium,rzecz,61
304,1999,rzecz,383
305,2000,rzecz,478
306,zebrać,czas,57
307,przerwać,czas,52
308,2001,rzecz,410
309,—,?,317
310,60,rzecz,207
311,hipoplazja,rzecz,6
312,płuco,rzecz,44
313,łac,?,102
314,hypoplasia,?,1
315,pulmonis,?,1
316,wrodzony,przym,30
317,polegać,czas,189
318,różny,przym,402
319,stopień,rzecz,444
320,niewykształcenie,rzecz,2
321,element,rzecz,269
322,naczyniowy,przym,24
323,oskrzelowy,przym,5
324,miąższowy,przym,3
325,tkanka,rzecz,51
326,płucny,przym,13
327,może,?,702
328,bezobjawowy,przym,7
329,wykryć,czas,31
330,przypadkowo,przys,14
331,często,przys,542
332,dawać,czas,130
333,objaw,rzecz,203
334,zakażenie,rzecz,83
335,marskość,rzecz,22
336,dotyczyć,czas,156
337,oba,rzecz,3192
338,pojedynczy,przym,94
339,płat,rzecz,48
340,rozpoznanie,rzecz,63
341,stawiać,czas,57
342,podstawa,rzecz,406
343,zdjęcia,rzecz,102
344,zdjęcie,rzecz,126
345,rtg,?,1
346,bronchoskopia,rzecz,1
347,bronchografia,rzecz,1
348,angiografia,rzecz,4
349,leczenie,rzecz,263
350,wad,rzecz,65
351,resekcja,rzecz,4
352,niewydolny,przym,2
353,rokowanie,rzecz,14
354,zależeć,czas,63
355,obecność,rzecz,98
356,bibliografia,rzecz,1207
357,szyling,rzecz,29
358,brytyjski,przym,285
359,−,?,117
360,moneta,rzecz,506
361,używać,czas,488
362,panowanie,rzecz,110
363,Henryk,rzecz,105
364,VII,rzecz,79
365,Tudor,rzecz,3
366,aż,?,176
367,1971,rzecz,145
368,dokonać,czas,88
369,decymalizacji,?,1
370,waluta,rzecz,46
371,przed,?,820
372,decymalizacją,?,1
373,1,rzecz,2758
374,/,?,2784
375,20,rzecz,675
376,część,rzecz,1024
377,funt,rzecz,28
378,szterling,rzecz,5
379,składać,czas,285
380,12,rzecz,638
381,pens,rzecz,7
382,Linagliptyna,?,6
383,organiczny,przym,106
384,związek,rzecz,722
385,chemiczny,przym,215
386,grupa,rzecz,706
387,inhibitor,rzecz,30
388,dipeptydylopeptydazy,?,2
389,4,rzecz,1256
390,cukrzyca,rzecz,33
391,typ,rzecz,693
392,2,rzecz,2049
393,poprawa,rzecz,25
394,kontrola,rzecz,142
395,glikemia,rzecz,6
396,mechanizm,rzecz,87
397,działanie,rzecz,498
398,enzym,rzecz,17
399,DPP,?,11
400,;,?,2311
401,EC,?,6
402,3.4.14.5,rzecz,1
403,brać,czas,311
404,udział,rzecz,558
405,inaktywacja,rzecz,1
406,hormon,rzecz,17
407,inkretynowych,?,1
408,GLP,?,3
409,glukagonopodobny,?,1
410,peptyd,rzecz,2
411,oraz,?,3088
412,GIP,?,2
413,glukozozależny,?,1
414,insulinotropowy,?,1
415,te,rzecz,351
416,szybko,przys,143
417,rozkładać,czas,9
418,inkretynowe,?,1
419,fizjologiczny,przym,13
420,regulacja,rzecz,33
421,homeostaza,rzecz,2
422,glukoza,rzecz,20
423,Inkretyny,?,1
424,wydzielać,czas,19
425,cały,przym,493
426,dzienia,rzecz,111
427,niewielki,rzecz,200
428,stężenie,rzecz,75
429,podstawowy,przym,257
430,rosny,przym,15
431,natychmiast,przys,36
432,przyjęcie,rzecz,68
433,posiłek,rzecz,13
434,zwiększać,czas,81
435,biosynteza,rzecz,1
436,insulina,rzecz,27
437,wydzielanie,rzecz,15
438,komórka,rzecz,79
439,bet,rzecz,28
440,trzustka,rzecz,49
441,prawidłowy,przym,35
442,zwiększyć,czas,89
443,krew,rzecz,127
444,zmniejszać,czas,50
445,glukagon,rzecz,2
446,alfa,rzecz,22
447,powodować,czas,239
448,zmniejszenie,rzecz,61
449,ilość,rzecz,278
450,uwalniać,czas,45
451,wątroba,rzecz,114
452,skuteczność,rzecz,47
453,odwracalnie,przys,1
454,wiązać,czas,52
455,prowadzić,czas,344
456,trwały,przym,63
457,zwiększenie,rzecz,61
458,inkretyn,?,1
459,przedłużenie,rzecz,8
460,utrzymywać,czas,77
461,aktywny,przym,70
462,wartość,rzecz,377
463,sposób,?,359
464,zależny,przym,35
465,pozwalać,czas,198
466,ogólny,przym,141
467,wybiórczo,przys,4
468,działo,rzecz,163
469,ponad,?,300
470,10,rzecz,872
471,tysiąc,rzecz,123
472,bardziej,przys,226
473,porównanie,rzecz,85
474,aktywność,rzecz,56
475,8,rzecz,769
476,9,rzecz,726
477,warunek,rzecz,234
478,in,rzecz,343
479,vitro,?,4
480,farmakokinetyka,rzecz,3
481,okres,rzecz,765
482,półtrwanie,rzecz,10
483,skuteczny,przym,56
484,dla,?,1686
485,kumulacja,rzecz,3
486,linagliptyny,?,14
487,określony,przym,155
488,doustny,przym,9
489,podanie,rzecz,36
490,dawka,rzecz,96
491,5,rzecz,1549
492,miligram,?,147
493,wynosić,czas,276
494,około,?,451
495,godzina,rzecz,159
496,podawanie,rzecz,27
497,doba,rzecz,35
498,stan,rzecz,705
499,stacjonarny,przym,13
500,osocze,rzecz,9
501,występować,czas,709
502,trzecia,rzecz,122
503,wiązanie,rzecz,18
504,białek,rzecz,27
505,99,rzecz,47
506,%,?,711
507,przy,?,1119
508,nmol,?,2
509,litr,?,146
510,75,rzecz,112
511,89,rzecz,28
512,≥,?,7
513,30,rzecz,549
514,odzwierciedlać,czas,17
515,wysycać,czas,1
516,wraz,przys,598
517,wzrost,rzecz,158
518,pełnia,rzecz,99
519,wysycić,czas,3
520,70,rzecz,210
521,80,rzecz,221
522,niż,?,371
523,stąd,przys,69
524,pozostawać,czas,139
525,związać,czas,366
526,metabolizm,rzecz,11
527,odgrywać,czas,37
528,podrzędny,przym,2
529,rola,rzecz,254
530,eliminacja,rzecz,53
531,główny,przym,671
532,metabolit,rzecz,9
533,o,?,3823
534,względny,przym,17
535,ekspozycja,rzecz,17
536,stanowić,czas,323
537,3,rzecz,1649
538,czym,?,249
539,stwierdzić,czas,99
540,nieaktywny,przym,3
541,farmakologicznie,przys,2
542,dlatego,przys,128
543,wpływać,czas,55
544,zakres,rzecz,254
545,hamować,czas,48
546,wydalać,czas,13
547,zdrowy,przym,15
548,osoba,rzecz,645
549,[,?,371
550,14C,?,6
551,],?,393
552,85,rzecz,77
553,podać,czas,63
554,radioaktywność,rzecz,3
555,kał,rzecz,11
556,mocz,rzecz,29
557,ciąg,rzecz,180
558,dzień,rzecz,703
559,klirens,rzecz,3
560,nerkowy,przym,11
561,Księga_Malachiasza,?,25
562,mililitr,?,18
563,mina,rzecz,134
564,wskazanie,rzecz,27
565,stosować,czas,302
566,wskazany,przym,21
567,u,?,786
568,dorosła,rzecz,51
569,pacjent,rzecz,110
570,monoterapia,rzecz,3
571,uzyskać,czas,373
572,wyłącznie,przys,100
573,pomoc,rzecz,424
574,dieta,rzecz,44
575,ćwiczenia,rzecz,32
576,ćwiczenie,rzecz,35
577,fizyczny,przym,165
578,niewystarczający,przym,11
579,metformina,?,2
580,nieodpowiedni,przym,6
581,powód,rzecz,351
582,nietolerancja,rzecz,5
583,przeciwwskazany,przym,7
584,niewydolność,rzecz,30
585,nerka,rzecz,61
586,terapia,rzecz,62
587,skojarzyć,czas,11
588,skojarzenie,rzecz,12
589,metforminą,?,3
590,metforminy,?,4
591,wystarczać,czas,10
592,odpowiednio,przys,98
593,pochodna,rzecz,80
594,sulfonylomocznika,?,3
595,dwulekowy,przym,1
596,zastosowanie,rzecz,321
597,lek,rzecz,281
598,bez,?,393
599,wysiłek,rzecz,40
600,przeciwwskazanie,rzecz,4
601,nadwrażliwość,rzecz,4
602,substancja,rzecz,121
603,czynny,przym,49
604,którykolwiek,przym,7
605,pomocniczy,przym,70
606,niepożądany,przym,38
607,niektóry,rzecz,340
608,reakcja,rzecz,107
609,alergiczny,przym,12
610,częstość,rzecz,25
611,nieznana,rzecz,59
612,móc,czas,600
613,ciężki,przym,177
614,świszczący,przym,1
615,oddech,rzecz,8
616,zadyszka,rzecz,1
617,nadreaktywność,rzecz,1
618,oskrzele,rzecz,9
619,wysypka,rzecz,5
620,występowanie,rzecz,118
621,niezbyt,przys,15
622,pokrzywka,rzecz,4
623,rzadko,przys,106
624,obrzęk,rzecz,10
625,twarz,rzecz,59
626,warga,rzecz,7
627,język,rzecz,329
628,gardło,rzecz,14
629,trudność,rzecz,48
630,oddychanie,rzecz,5
631,przełykać,czas,1
632,naczynioruchowy,przym,2
633,jeżeli,?,108
634,wystąpić,czas,208
635,jakikolwiek,przym,47
636,wysoce,przys,67
637,wysoko,przys,90
638,wymienić,czas,76
639,oznaka,rzecz,15
640,choroba,rzecz,400
641,należeć,czas,425
642,skontaktować,czas,9
643,lekarz,rzecz,249
644,przepisać,czas,6
645,zapalenie,rzecz,141
646,dostępny,przym,181
647,dana,rzecz,371
648,wystąpienie,rzecz,68
649,długotrwały,przym,22
650,ból,rzecz,100
651,brzuch,rzecz,32
652,wymiot,rzecz,18
653,ponieważ,?,204
654,wskazywać,czas,77
655,dawkowanie,rzecz,17
656,dodanie,rzecz,22
657,utrzymać,czas,37
658,linagliptynę,?,1
659,podawać,czas,93
660,jednocześnie,przys,194
661,zmniejszyć,czas,49
662,ryzyka,rzecz,80
663,hipoglikemia,rzecz,2
664,konieczny,przym,37
665,preparat,rzecz,64
666,prosta,rzecz,68
667,Trajenta,?,1
668,złożone,rzecz,43
669,Jentadueto,?,1
670,linagliptyna,?,1
671,+,?,423
672,globus,rzecz,6
673,Toolkit,?,3
674,zbiór,rzecz,200
675,narzędzie,rzecz,48
676,framework,?,1
677,ułatwiać,czas,26
678,tworzenie,rzecz,95
679,usługa,rzecz,83
680,pracująca,rzecz,31
681,środowisko,rzecz,124
682,gridowym,?,1
683,otwarty,przym,110
684,oprogramowanie,rzecz,41
685,przygotować,czas,60
686,C,rzecz,321
687,Java,rzecz,8
688,rozwijać,czas,120
689,Alliance,?,5
690,szereg,rzecz,150
691,developer,rzecz,2
692,przeznaczyć,czas,187
693,Unix,rzecz,2
694,oprzeć,czas,177
695,uruchamiać,czas,17
696,platforma,rzecz,71
697,obsługiwać,czas,55
698,SDK,rzecz,3
699,zespół,rzecz,1167
700,powstawać,czas,138
701,90'tych,?,1
702,Iana,?,1
703,Fostera,?,5
704,Argonne,?,3
705,National,?,65
706,Laboratory,?,22
707,Carl,rzecz,27
708,Carlo,rzecz,23
709,Kessleman,?,1
710,Information,?,2
711,Sciences,?,3
712,Institute,?,20
713,University,?,92
714,Southern,?,5
715,California,?,7
716,pracować,czas,397
717,polski,rzecz,1854
718,korzenie,rzecz,15
719,Jarek,rzecz,4
720,gawor,rzecz,1
721,Kate,?,4
722,Keahey,?,1
723,Paweł,rzecz,156
724,płaszczak,rzecz,2
725,literatura,rzecz,146
726,książkowy,przym,14
727,powstały,przym,275
728,wspomnieć,czas,53
729,Foster,?,4
730,Kesselman,?,1
731,Nabrzyski,?,1
732,wspierać,czas,86
733,standard,rzecz,125
734,open,przym,46
735,Grid,?,6
736,Services,?,6
737,Architecture,?,1
738,OGSA,?,2
739,Infrastructure,?,3
740,OGSI,?,1
741,originally,?,1
742,intended,?,1
743,forma,rzecz,334
744,the,?,650
745,Basic,rzecz,4
746,“,?,33
747,plumbing,?,1
748,”,?,1492
749,layer,?,1
750,for,rzecz,97
751,but,rzecz,27
752,Has,rzecz,5
753,been,?,2
754,superseded,?,1
755,by,?,549
756,WSRF,?,2
757,Anda,rzecz,366
758,WS,?,4
759,management,rzecz,7
760,Web,rzecz,7
761,Resource,?,2
762,Framework,?,4
763,Job,rzecz,3
764,Submission,?,1
765,Description,?,1
766,Language,?,2
767,JSDL,?,1
768,Distributed,?,1
769,Application,?,1
770,API,rzecz,3
771,DRMAA,?,1
772,BaseNotification,?,1
773,SOAP,?,1
774,WSDL,?,1
775,Security,?,3
776,GSI,?,1
777,Metylobromek,?,1
778,morfina,rzecz,11
779,syntetyczny,przym,39
780,opioidowy,przym,14
781,objąć,czas,182
782,jednolity,przym,49
783,konwencja,rzecz,55
784,środek,rzecz,329
785,odurzający,przym,38
786,1961,rzecz,121
787,wykaz,rzecz,70
788,Polska,rzecz,1466
789,N,?,129
790,ustawa,rzecz,186
791,przeciwdziałanie,rzecz,34
792,narkomania,rzecz,26
793,rezolucja,rzecz,14
794,bezpieczeństwo,rzecz,79
795,ONZ,rzecz,20
796,nr,rzecz,603
797,1761,rzecz,6
798,',?,9105
799,przyjęty,przym,74
800,czerwiec,rzecz,519
801,5700,rzecz,4
802,posiedzenie,rzecz,13
803,rada,rzecz,56
804,przedłużać,czas,5
805,31,rzecz,241
806,październik,rzecz,515
807,mandat,rzecz,39
808,ekspert,rzecz,20
809,powołany,przym,70
810,1727,rzecz,5
811,ocena,rzecz,73
812,wykonywać,czas,258
813,decyzja,rzecz,170
814,zawrzeć,czas,93
815,1572,rzecz,9
816,1643,rzecz,4
817,okresowy,przym,48
818,raport,rzecz,82
819,ustalenie,rzecz,37
820,daleko,przys,97
821,15,rzecz,548
822,starzenie,rzecz,16
823,stop,rzecz,248
824,obróbka,rzecz,38
825,cieplny,przym,30
826,poddawać,czas,34
827,wczesno,przys,218
828,wcześnie,przys,241
829,przesycić,czas,7
830,metal,rzecz,161
831,zazwyczaj,przys,118
832,żelazo,rzecz,52
833,proces,rzecz,290
834,właściwość,rzecz,143
835,wytrzymałościowy,przym,6
836,twardość,rzecz,29
837,pogorszenie,rzecz,14
838,plastyczność,rzecz,3
839,nagrzać,czas,3
840,temperatura,rzecz,245
841,poniżej,przys,111
842,graniczny,przym,45
843,rozpuszczalność,rzecz,11
844,składnik,rzecz,95
845,wygrzać,czas,1
846,powolny,przym,17
847,chłodzenie,rzecz,20
848,roztwór,rzecz,53
849,nadmiar,rzecz,14
850,postać,rzecz,586
851,faza,rzecz,111
852,drobnodyspersyjny,przym,1
853,zachodzić,czas,49
854,pokojowa,rzecz,33
855,nosić,czas,125
856,nazwa,rzecz,739
857,samorzutny,przym,4
858,naturalny,przym,101
859,połączyć,czas,99
860,przesycać,czas,1
861,określać,czas,168
862,wspólny,przym,119
863,utwardzać,czas,5
864,wydzieleniowe,?,1
865,wydzieleniowemu,?,1
866,charakteryzować,czas,111
867,zmienna,rzecz,44
868,stała,rzecz,207
869,umacniać,czas,3
870,nieżelazny,przym,2
871,stopowy,przym,38
872,stal,rzecz,107
873,austenityczny,przym,3
874,ferrytyczny,przym,1
875,dyspersyjny,przym,8
876,maksymalny,przym,193
877,wytrzymałość,rzecz,33
878,zwrócić,czas,53
879,szczególny,przym,84
880,uwaga,rzecz,165
881,dobór,rzecz,9
882,gdyż,?,184
883,przeprowadzić,czas,206
884,operacja,rzecz,143
885,zbyt,przys,103
886,wysoki,przym,505
887,tak_zwany,?,306
888,przestarzeć,czas,1
889,czyli,?,262
890,następować,czas,73
891,utrata,rzecz,54
892,koherencja,rzecz,1
893,wydzielić,czas,39
894,osnowa,rzecz,1
895,koagulacja,rzecz,4
896,cząstka,rzecz,36
897,przyczyna,rzecz,133
898,Irena,rzecz,26
899,Tatarzyńska,?,1
900,dyplomata,rzecz,16
901,orientalista,rzecz,2
902,turkolog,rzecz,1
903,doktor,rzecz,125
904,nauka,rzecz,330
905,filologiczny,przym,8
906,ambasador,rzecz,28
907,pełnomocny,przym,3
908,nadzwyczajny,przym,36
909,RP,rzecz,81
910,Albania,rzecz,105
911,życiorys,rzecz,102
912,1974,rzecz,155
913,ukończyć,czas,329
914,studia,rzecz,282
915,studio,rzecz,365
916,studium,rzecz,306
917,filologia,rzecz,11
918,turecki,przym,40
919,uniwersytet,rzecz,389
920,Warszawskie,rzecz,116
921,podjąć,czas,171
922,kariera,rzecz,316
923,naukowy,przym,248
924,akademia,rzecz,264
925,1986,rzecz,237
926,obronić,czas,27
927,praca,rzecz,1012
928,doktorski,przym,18
929,pod_tytułem,?,107
930,inteligencja,rzecz,23
931,twórczy,przym,13
932,wobec,przys,157
933,europeizacja,rzecz,1
934,imperium,rzecz,38
935,osmański,przym,17
936,tanzimatu,?,1
937,republika,rzecz,114
938,1991,rzecz,312
939,rozpocząć,czas,511
940,ministerstwo,rzecz,147
941,sprawa,rzecz,336
942,zagraniczny,przym,100
943,specjalizować,czas,52
944,kontakt,rzecz,113
945,Kaukaz,rzecz,8
946,południowy,przym,251
947,Azja,rzecz,76
948,środkowa,rzecz,107
949,1994,rzecz,345
950,miejsce,rzecz,2036
951,była,rzecz,925
952,ambasada,rzecz,14
953,Ankara,rzecz,4
954,gdzie,przys,751
955,pełnić,czas,249
956,funkcja,rzecz,336
957,zastępca,rzecz,118
958,szef,rzecz,225
959,placówka,rzecz,62
960,miesiąc,rzecz,180
961,chargé,rzecz,1
962,d'affaires,?,1
963,Ada,rzecz,29
964,interim,rzecz,1
965,powrócić,czas,154
966,stanowisko,rzecz,362
967,dyrektor,rzecz,132
968,departament,rzecz,43
969,Europa,rzecz,400
970,wschodni,przym,311
971,MSZ,rzecz,3
972,2003,rzecz,438
973,wyjechać,czas,78
974,Sofia,rzecz,6
975,ranga,rzecz,60
976,radca,rzecz,26
977,minister,rzecz,183
978,obowiązek,rzecz,133
979,wyróżniony,przym,14
980,władza,rzecz,299
981,bułgarski,rzecz,9
982,medal,rzecz,423
983,złoty,przym,462
984,gałązka,rzecz,15
985,laurowy,przym,5
986,koordynator,rzecz,6
987,do_spraw,?,54
988,pakt,rzecz,7
989,stabilność,rzecz,14
990,południowo,przys,66
991,24,rzecz,373
992,kwiecień,rzecz,577
993,stanąć,czas,70
994,parlamentarny,przym,35
995,komisja,rzecz,167
996,zaopiniować,czas,2
997,pozytywnie,przys,9
998,kandydatura,rzecz,9
999,listopad,rzecz,526
1000,list,rzecz,281
1001,uwierzytelniać,czas,1
1002,ręka,rzecz,162
1003,prezydent,rzecz,160
1004,Bamira,?,1
1005,Topiego,?,1
1006,misja,rzecz,241
1007,zakończyć,czas,206
1008,t,?,162
1009,r,?,1779
1010,odznaczyć,czas,124
1011,krzyż,rzecz,382
1012,kawalerski,przym,36
1013,order,rzecz,267
1014,odrodzenie,rzecz,75
1015,znać,czas,44
1016,biegle,przys,5
1017,angielski,rzecz,186
1018,rosyjski,rzecz,244
1019,włosek,rzecz,42
1020,posługiwać,czas,24
1021,francuski,rzecz,253
1022,mężatka,rzecz,6
1023,Fels,?,3
1024,fals,?,1
1025,fils,?,1
1026,fulus,?,2
1027,miedziany,przym,36
1028,arabski,przym,110
1029,bity,przym,82
1030,średniowiecze,rzecz,27
1031,określenie,rzecz,104
1032,przestrzeń,rzecz,80
1033,pochodzić,czas,355
1034,folisa,?,1
1035,follis,?,1
1036,rozpowszechniony,przym,25
1037,Bizancjum,rzecz,1
1038,naśladować,czas,15
1039,podrabiać,czas,1
1040,Arab,rzecz,24
1041,obszar,rzecz,258
1042,bliski,przym,97
1043,wschód,rzecz,178
1044,emisja,rzecz,90
1045,zniekształcić,czas,4
1046,wyobrażenie,rzecz,17
1047,bizantyjski,przym,4
1048,napis,rzecz,138
1049,reforma,rzecz,62
1050,monetarny,przym,54
1051,dokonany,przym,46
1052,695,rzecz,3
1053,kalif,rzecz,20
1054,Abd,?,28
1055,AL,rzecz,114
1056,Malika,?,1
1057,fels,?,1
1058,pozbawić,czas,68
1059,wszelki,przym,78
1060,jedynie,?,240
1061,odpowiedni,przym,106
1062,inskrypcja,rzecz,19
1063,sentencja,rzecz,2
1064,koraniczny,przym,2
1065,imię,rzecz,223
1066,data,rzecz,121
1067,itp,?,101
1068,pierwotnie,przys,61
1069,48,rzecz,81
1070,srebrny,przym,317
1071,dirhem,rzecz,5
1072,waga,rzecz,113
1073,gram,rzecz,286
1074,XI,rzecz,72
1075,felsa,?,2
1076,spotykać,czas,102
1077,1258,rzecz,3
1078,kalifat,rzecz,7
1079,bagdadzki,przym,3
1080,zacząć,czas,290
1081,stopniowo,przys,35
1082,tracić,czas,42
1083,znaczenie,rzecz,159
1084,wtedy,przys,193
1085,przyjąć,czas,111
1086,emirat,rzecz,9
1087,Buchary,?,1
1088,XIV,rzecz,40
1089,XV,rzecz,39
1090,rozpowszechnić,czas,16
1091,obiegowy,przym,14
1092,Egipt,rzecz,252
1093,mameluk,rzecz,4
1094,oko,rzecz,537
1095,1350,rzecz,11
1096,mogoł,rzecz,1
1097,szach,rzecz,111
1098,perski,rzecz,42
1099,świat,rzecz,1210
1100,późno,przys,645
1101,powszechnie,przys,59
1102,odniesienie,rzecz,45
1103,miedziak,rzecz,2
1104,Maroko,rzecz,11
1105,Tunis,rzecz,7
1106,przetrwać,czas,37
1107,XIX,rzecz,111
1108,tradycja,rzecz,117
